Timestamp,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
2025-04-25T16:47:16.336Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:17.257Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:18.231Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:18.925Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:19.919Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:20.964Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:22.227Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:23.248Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:23.988Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:25.038Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:25.867Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:27.102Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:28.310Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:28.998Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:30.063Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:31.389Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:32.372Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:33.412Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:34.271Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:35.309Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:36.096Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:37.559Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:38.343Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:39.386Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:40.386Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:41.120Z,0.00,0.00,0.00,33.33,66.67,0.00,0.00
2025-04-25T16:47:42.638Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:44.252Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:47:45.310Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:46.300Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:47.534Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:47.931Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:49.509Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:47:50.654Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:52.464Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:52.941Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:54.526Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:47:55.908Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:48:00.159Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
